,Duration,Closure Hour,Closure Minute,Closure Second,Bridge,Date,Year,Month,Day
273,14876,10,25,19,1st Ave S,2016-03-08,2016,03,08
274,73907,14,26,15,1st Ave S,2016-03-07,2016,03,07
275,3822,10,49,47,1st Ave S,2016-03-07,2016,03,07
276,24963,11,23,27,1st Ave S,2016-03-04,2016,03,04
277,72554,18,3,53,1st Ave S,2016-03-04,2016,03,04
278,78005,14,3,6,1st Ave S,2016-03-03,2016,03,03
279,86181,11,33,3,1st Ave S,2016-03-02,2016,03,02
280,85448,11,3,53,1st Ave S,2016-03-02,2016,03,02
281,85446,10,40,22,1st Ave S,2016-03-02,2016,03,02
282,30401,10,16,40,1st Ave S,2016-03-02,2016,03,02
283,65665,18,20,39,1st Ave S,2016-03-01,2016,03,01
284,79170,12,0,32,1st Ave S,2016-02-26,2016,02,26
285,85379,18,38,18,1st Ave S,2016-02-25,2016,02,25
286,61125,18,8,32,1st Ave S,2016-02-25,2016,02,25
287,80285,10,56,31,1st Ave S,2016-02-24,2016,02,24
288,42244,9,5,6,1st Ave S,2016-02-24,2016,02,24
289,50430,20,39,28,1st Ave S,2016-02-23,2016,02,23
290,81466,10,25,12,1st Ave S,2016-02-22,2016,02,22
291,85408,8,54,49,1st Ave S,2016-02-21,2016,02,21
292,35329,8,28,51,1st Ave S,2016-02-21,2016,02,21
293,75494,18,5,45,1st Ave S,2016-04-12,2016,04,12
294,25086,14,41,33,1st Ave S,2016-04-11,2016,04,11
295,66220,21,28,44,1st Ave S,2016-04-11,2016,04,11
296,65875,18,0,10,1st Ave S,2016-04-10,2016,04,10
297,54722,18,0,39,1st Ave S,2016-04-08,2016,04,08
298,80321,12,31,44,1st Ave S,2016-04-05,2016,04,05
299,30148,10,34,2,1st Ave S,2016-04-04,2016,04,04
300,68308,18,39,48,1st Ave S,2016-04-04,2016,04,04
301,4388,18,50,44,1st Ave S,2016-04-03,2016,04,03
302,84343,19,48,22,1st Ave S,2016-04-02,2016,04,02
303,85961,18,58,27,1st Ave S,2016-04-02,2016,04,02
304,60401,18,39,45,1st Ave S,2016-04-02,2016,04,02
